iter	MultiClass
0	0.3323311036
1	0.2211949741
2	0.1737628782
3	0.1513513452
4	0.13716671
5	0.1308472529
6	0.1283728185
7	0.1271985237
8	0.1256414456
9	0.1253618135
10	0.1253578701
11	0.1250091297
12	0.1247482234
13	0.1244440756
14	0.1242648469
15	0.1242459697
16	0.1241723693
17	0.1239037978
18	0.123828084
19	0.1236909735
20	0.123623247
21	0.1235788737
22	0.1232620252
23	0.1232039615
24	0.1229214737
25	0.1228029118
26	0.1225799491
27	0.122508257
28	0.1223812013
29	0.1223176577
30	0.1222100955
31	0.122145996
32	0.1220997931
33	0.1219357875
34	0.1219041978
35	0.1217620187
36	0.1216702727
37	0.1215759753
38	0.1215119204
39	0.1212710135
40	0.1211502539
41	0.1210664589
42	0.121019828
43	0.1209552618
44	0.1209038659
45	0.1208174797
46	0.1207053165
47	0.1206085467
48	0.1205492455
49	0.1204897292
50	0.1204107075
51	0.1203689885
52	0.1202362361
53	0.1201619112
54	0.1201305617
55	0.1200391135
56	0.1200174436
57	0.1199263539
58	0.1199102293
59	0.1198851281
60	0.1198249577
61	0.1198074917
62	0.1197839039
63	0.1197544967
64	0.1196840499
65	0.1196286715
66	0.1195736532
67	0.1194659048
68	0.1194080897
69	0.1193331129
70	0.1192904795
71	0.1192335883
72	0.1190969851
73	0.1190161039
74	0.1189900237
75	0.1189511294
76	0.118902103
77	0.1187525265
78	0.1185977296
79	0.1184117601
80	0.1183680468
81	0.1183129393
82	0.1182404253
83	0.1181385812
84	0.1180680215
85	0.1179983431
86	0.1179359223
87	0.1178609648
88	0.1177554856
89	0.1176849534
90	0.1175667849
91	0.1175477741
92	0.1175275739
93	0.1174288757
94	0.1173056374
95	0.1172363163
96	0.1171316214
97	0.1170530609
98	0.1169779876
99	0.1169195227
