iter	Passed	Remaining
0	28	2800
1	52	2589
2	77	2498
3	109	2620
4	134	2557
5	161	2534
6	191	2538
7	216	2494
8	238	2414
9	267	2411
10	289	2345
11	314	2309
12	345	2309
13	379	2328
14	400	2272
15	425	2236
16	450	2198
17	480	2190
18	510	2177
19	540	2163
20	570	2146
21	592	2099
22	617	2066
23	647	2049
24	669	2007
25	699	1991
26	734	1984
27	759	1953
28	788	1930
29	811	1892
30	836	1860
31	865	1838
32	887	1801
33	918	1783
34	940	1746
35	970	1725
36	1000	1703
37	1026	1674
38	1057	1654
39	1088	1633
40	1121	1613
41	1155	1595
42	1181	1566
43	1210	1540
44	1232	1505
45	1258	1476
46	1280	1443
47	1306	1415
48	1337	1391
49	1367	1367
50	1392	1337
51	1417	1308
52	1440	1277
53	1465	1248
54	1494	1222
55	1517	1191
56	1542	1163
57	1573	1139
58	1603	1114
59	1625	1083
60	1655	1058
61	1686	1033
62	1708	1003
63	1733	975
64	1755	945
65	1778	916
66	1800	886
67	1822	857
68	1854	833
69	1880	805
70	1911	780
71	1940	754
72	1962	725
73	1992	699
74	2017	672
75	2039	644
76	2070	618
77	2092	590
78	2114	562
79	2137	534
80	2168	508
81	2193	481
82	2215	453
83	2247	428
84	2277	401
85	2299	374
86	2329	348
87	2355	321
88	2378	293
89	2409	267
90	2431	240
91	2461	214
92	2484	186
93	2513	160
94	2535	133
95	2566	106
96	2588	80
97	2618	53
98	2648	26
99	2679	0
